path,y_predicted
crop_h4/I00072.png,1991ZAN
crop_h4/I00073.png,C2
crop_h4/I00067.png,8T52099
crop_h4/I00059.png,8121
crop_h4/I00071.png,BZN1065
crop_h4/I00065.png,67676B8
crop_h4/I00064.png,56884949
crop_h4/I00070.png,4B8
crop_h4/I00058.png,4966BZ0
crop_h3/I00121.png,7B72729
crop_h3/I00135.png,237
crop_h3/I00109.png,6B03119
crop_h3/I00096.png,7876600
crop_h3/I00082.png,02301B7
crop_h3/I00055.png,6B34859
crop_h3/I00041.png,4B07003
crop_h3/I00069.png,3B41980
crop_h3/I00068.png,41677B4
crop_h3/I00040.png,7B11607
crop_h3/I00054.png,2B388280
crop_h3/I00083.png,8B47318
crop_h3/I00097.png,9B98777
crop_h3/I00108.png,8B8
crop_h3/I00134.png,1BB7325
crop_h3/I00120.png,4B22781
crop_h3/I00136.png,6B24616
crop_h3/I00122.png,BMZ3933
crop_h3/I00081.png,9B45193
crop_h3/I00095.png,2B9
crop_h3/I00042.png,8853308
crop_h3/I00056.png,4876148
crop_h3/I00057.png,10138B8
crop_h3/I00043.png,9B13973
crop_h3/I00094.png,BB7793
crop_h3/I00080.png,92029T18
crop_h3/I00123.png,BZB1922
crop_h3/I00137.png,5B26675
crop_h3/I00133.png,65128B6
crop_h3/I00127.png,6B70990
crop_h3/I00084.png,21381B
crop_h3/I00090.png,1BB
crop_h3/I00047.png,3SA6413
crop_h3/I00053.png,6889358
crop_h3/I00052.png,2SZ4642
crop_h3/I00046.png,
crop_h3/I00091.png,5B24546
crop_h3/I00085.png,7B46204
crop_h3/I00126.png,7B90990
crop_h3/I00132.png,95457B8
crop_h3/I00118.png,186157
crop_h3/I00124.png,2M25948
crop_h3/I00130.png,7B59066
crop_h3/I00093.png,9813772
crop_h3/I00087.png,2B7
crop_h3/I00078.png,3B09932
crop_h3/I00050.png,8B41958
crop_h3/I00044.png,5857928
crop_h3/I00045.png,95275B9
crop_h3/I00051.png,3Z63187
crop_h3/I00079.png,74628T7
crop_h3/I00086.png,5B23615
crop_h3/I00092.png,9B29274
crop_h3/I00131.png,7814095
crop_h3/I00125.png,7B30788
crop_h3/I00119.png,L88
crop_h3/I00036.png,7B63766
crop_h3/I00022.png,
crop_h3/I00023.png,7B1215
crop_h3/I00037.png,3403
crop_h3/I00021.png,9B88363
crop_h3/I00035.png,2B46175
crop_h3/I00009.png,4M32977
crop_h3/I00008.png,28404B8
crop_h3/I00034.png,2Z52689
crop_h3/I00020.png,1B61178
crop_h3/I00140.png,9B86906
crop_h3/I00018.png,4AX9660
crop_h3/I00024.png,9B30130
crop_h3/I00030.png,9B30034
crop_h3/I00031.png,5B20773
crop_h3/I00025.png,01309B3
crop_h3/I00019.png,3B60372
crop_h3/I00033.png,1837208
crop_h3/I00027.png,9B88363
crop_h3/I00026.png,1BA1114
crop_h3/I00032.png,8326229
crop_h3/I00017.png,7827254
crop_h3/I00003.png,7B14095
crop_h3/I00002.png,BZL4085
crop_h3/I00016.png,7B66657
crop_h3/I00000.png,2304
crop_h3/I00014.png,68993S8
crop_h3/I00028.png,62565B0
crop_h3/I00029.png,18A1114
crop_h3/I00015.png,9B33297
crop_h3/I00001.png,19B43104
crop_h3/I00039.png,1BC6703
crop_h3/I00005.png,13906c7
crop_h3/I00011.png,55315B0
crop_h3/I00010.png,6MO429
crop_h3/I00004.png,1BA2905
crop_h3/I00038.png,2857127
crop_h3/I00012.png,5Z15057
crop_h3/I00006.png,8B46851
crop_h3/I00007.png,6B45495
crop_h3/I00013.png,4Z42407
crop_h3/I00100.png,1B05002
crop_h3/I00114.png,1BC1046
crop_h3/I00128.png,7B75285
crop_h3/I00074.png,5B77379
crop_h3/I00060.png,6480BZP
crop_h3/I00048.png,HZAF9553
crop_h3/I00049.png,1Z35206
crop_h3/I00061.png,83701BA
crop_h3/I00075.png,7B73485
crop_h3/I00129.png,3B25229
crop_h3/I00115.png,8B62184
crop_h3/I00101.png,1927
crop_h3/I00117.png,486L261
crop_h3/I00103.png,BZL5685
crop_h3/I00088.png,8BO3653
crop_h3/I00063.png,5J0402
crop_h3/I00077.png,4B60620
crop_h3/I00076.png,BZL3400
crop_h3/I00062.png,6480BZP
crop_h3/I00089.png,1E59706
crop_h3/I00102.png,9B14015
crop_h3/I00116.png,3B6
crop_h3/I00112.png,8T89907
crop_h3/I00106.png,3K29729
crop_h3/I00099.png,8B22920
crop_h3/I00066.png,8860552
crop_h3/I00072.png,7B30135
crop_h3/I00073.png,2AX4938
crop_h3/I00067.png,5B38434
crop_h3/I00098.png,28718838
crop_h3/I00107.png,6876914
crop_h3/I00113.png,LAC5710
crop_h3/I00139.png,5H67028
crop_h3/I00105.png,7B35438
crop_h3/I00111.png,7B34216
crop_h3/I00059.png,72471B2
crop_h3/I00071.png,2AX4938
crop_h3/I00065.png,9B91420
crop_h3/I00064.png,7B65585
crop_h3/I00070.png,95888B6
crop_h3/I00058.png,85177B8
crop_h3/I00110.png,8886266
crop_h3/I00104.png,2E61
crop_h3/I00138.png,7B7
crop_h1/I00009.png,1876462
crop_h1/I00008.png,2B20174
crop_h1/I00018.png,8B8
crop_h1/I00019.png,5828893
crop_h1/I00017.png,5B29737
crop_h1/I00003.png,5B11181
crop_h1/I00002.png,8B90164
crop_h1/I00016.png,4B2
crop_h1/I00000.png,9B52145
crop_h1/I00014.png,4B83940
crop_h1/I00015.png,4B83940
crop_h1/I00001.png,6B94558
crop_h1/I00005.png,8B90164
crop_h1/I00011.png,18B79697
crop_h1/I00010.png,BVJ6411
crop_h1/I00004.png,8B7
crop_h1/I00012.png,BVJ6411
crop_h1/I00006.png,5B11181
crop_h1/I00007.png,5Z40181
crop_h1/I00013.png,1B94686
crop_m1/I00009.png,1B76462
crop_m1/I00008.png,2B20174
crop_m1/I00018.png,8B88391
crop_m1/I00019.png,5828898
crop_m1/I00017.png,5B29737
crop_m1/I00003.png,5B11181
crop_m1/I00002.png,8B90164
crop_m1/I00016.png,4B2
crop_m1/I00000.png,9B52145
crop_m1/I00014.png,4B83940
crop_m1/I00015.png,4B83940
crop_m1/I00001.png,6B94558
crop_m1/I00005.png,8B90164
crop_m1/I00011.png,8B79697
crop_m1/I00010.png,BVJ6411
crop_m1/I00004.png,8B7
crop_m1/I00012.png,BVJ6411
crop_m1/I00006.png,5B11181
crop_m1/I00007.png,5Z40181
crop_m1/I00013.png,1B99897
crop_m2/I00055.png,1BA0888
crop_m2/I00041.png,6868384
crop_m2/I00069.png,9B67907
crop_m2/I00068.png,2B74289
crop_m2/I00040.png,7B00844
crop_m2/I00054.png,1BB6338
crop_m2/I00042.png,78185714
crop_m2/I00056.png,19B49365
crop_m2/I00057.png,6B26050
crop_m2/I00043.png,7B29430
crop_m2/I00047.png,9884759
crop_m2/I00053.png,BZC4939
crop_m2/I00052.png,17858307
crop_m2/I00046.png,6867033
crop_m2/I00050.png,03206B0
crop_m2/I00044.png,7861623
crop_m2/I00045.png,2889928
crop_m2/I00051.png,4B45969
crop_m2/I00036.png,2B13579
crop_m2/I00022.png,3B04082
crop_m2/I00023.png,1J24813
crop_m2/I00037.png,5808436
crop_m2/I00021.png,4B20737
crop_m2/I00035.png,9B84391
crop_m2/I00009.png,ZNE2393
crop_m2/I00008.png,8201223
crop_m2/I00034.png,8B23170
crop_m2/I00020.png,8B781401
crop_m2/I00018.png,BZH8389
crop_m2/I00024.png,1BC4146
crop_m2/I00030.png,3AL0851
crop_m2/I00031.png,
crop_m2/I00025.png,5B77655
crop_m2/I00019.png,9B383
crop_m2/I00033.png,3A10851
crop_m2/I00027.png,2087BZP
crop_m2/I00026.png,6867495
crop_m2/I00032.png,7B11859
crop_m2/I00017.png,2B17515
crop_m2/I00003.png,1BD0673
crop_m2/I00002.png,4B10036
crop_m2/I00016.png,6H78681
crop_m2/I00000.png,5C48306
crop_m2/I00014.png,1AT5828
crop_m2/I00028.png,
crop_m2/I00029.png,2B65055
crop_m2/I00015.png,7B14349
crop_m2/I00001.png,3B38140
crop_m2/I00039.png,2B52739
crop_m2/I00005.png,6851255
crop_m2/I00011.png,7810307
crop_m2/I00010.png,8BO2173
crop_m2/I00004.png,4B50811
crop_m2/I00038.png,4AF9553
crop_m2/I00012.png,7970986
crop_m2/I00006.png,02466
crop_m2/I00007.png,5C85576
crop_m2/I00013.png,7891102
crop_m2/I00074.png,13005B1
crop_m2/I00060.png,4AZ3802
crop_m2/I00048.png,1BB8851
crop_m2/I00049.png,6850430
crop_m2/I00061.png,7B57267
crop_m2/I00075.png,1BA3428
crop_m2/I00063.png,118889
crop_m2/I00077.png,5B82908
crop_m2/I00076.png,1BD0679
crop_m2/I00062.png,2Z5
crop_m2/I00066.png,7B94261
crop_m2/I00072.png,9B59729
crop_m2/I00073.png,15811149
crop_m2/I00067.png,5B11149
crop_m2/I00059.png,3Z63187
crop_m2/I00071.png,7B98453
crop_m2/I00065.png,7B489988
crop_m2/I00064.png,4EO2304
crop_m2/I00070.png,1385815
crop_m2/I00058.png,8B64702
crop_m3/I00121.png,7B72729
crop_m3/I00135.png,287
crop_m3/I00109.png,6B03119
crop_m3/I00096.png,TB7
crop_m3/I00082.png,1870230
crop_m3/I00055.png,6B34859
crop_m3/I00041.png,4B07003
crop_m3/I00069.png,3B41980
crop_m3/I00068.png,7B4Q4167
crop_m3/I00040.png,17B11607
crop_m3/I00054.png,2B38280
crop_m3/I00083.png,8B47318
crop_m3/I00097.png,9B98777
crop_m3/I00108.png,sS
crop_m3/I00134.png,73251BB
crop_m3/I00120.png,4B22781
crop_m3/I00136.png,6B24616
crop_m3/I00122.png,BMZ3933
crop_m3/I00081.png,9B45193
crop_m3/I00095.png,2B9
crop_m3/I00042.png,18853308
crop_m3/I00056.png,4B76148
crop_m3/I00057.png,10138B8
crop_m3/I00043.png,9B13973
crop_m3/I00094.png,
crop_m3/I00080.png,9T19202
crop_m3/I00123.png,BZB1922
crop_m3/I00137.png,5B216675
crop_m3/I00133.png,65128B6
crop_m3/I00127.png,6B70990
crop_m3/I00084.png,21381BI
crop_m3/I00090.png,1BB
crop_m3/I00047.png,3SA6413
crop_m3/I00053.png,6B89358
crop_m3/I00052.png,2SZ4642
crop_m3/I00046.png,9B83305
crop_m3/I00091.png,5B29797
crop_m3/I00085.png,7B46204
crop_m3/I00126.png,7B90990
crop_m3/I00132.png,95457B8
crop_m3/I00118.png,46157
crop_m3/I00124.png,2M25948
crop_m3/I00130.png,7B59066
crop_m3/I00093.png,9813772
crop_m3/I00087.png,2B7
crop_m3/I00078.png,3B09932
crop_m3/I00050.png,8B41958
crop_m3/I00044.png,5B57928
crop_m3/I00045.png,95275B9
crop_m3/I00051.png,3Z63187
crop_m3/I00079.png,74628T7
crop_m3/I00086.png,5B283615
crop_m3/I00092.png,9829274
crop_m3/I00131.png,7B16095
crop_m3/I00125.png,7B30788
crop_m3/I00119.png,4B8
crop_m3/I00036.png,7363766
crop_m3/I00022.png,7B12151
crop_m3/I00023.png,7B12151
crop_m3/I00037.png,3403BOL
crop_m3/I00021.png,9B88363
crop_m3/I00035.png,2B46175
crop_m3/I00009.png,4M37977
crop_m3/I00008.png,4B82840
crop_m3/I00034.png,2Z52689
crop_m3/I00020.png,1B61178
crop_m3/I00140.png,9B86906
crop_m3/I00018.png,4AX9660
crop_m3/I00024.png,9B30130
crop_m3/I00030.png,9B30034
crop_m3/I00031.png,5B20773
crop_m3/I00025.png,0130
crop_m3/I00019.png,3B137
crop_m3/I00033.png,1837208
crop_m3/I00027.png,9B88363
crop_m3/I00026.png,1BA1114
crop_m3/I00032.png,8826229
crop_m3/I00017.png,7827254
crop_m3/I00003.png,7B14095
crop_m3/I00002.png,BZL4085
crop_m3/I00016.png,7B66657
crop_m3/I00000.png,4EO2304
crop_m3/I00014.png,3S86899
crop_m3/I00028.png,62565B0
crop_m3/I00029.png,1BA1114
crop_m3/I00015.png,9B33297
crop_m3/I00001.png,9B43104
crop_m3/I00039.png,1BC6703
crop_m3/I00005.png,13906c7
crop_m3/I00011.png,55315B0
crop_m3/I00010.png,6NO4291
crop_m3/I00004.png,1BA2905
crop_m3/I00038.png,2857127
crop_m3/I00012.png,5Z15057
crop_m3/I00006.png,8B46851
crop_m3/I00007.png,6B45495
crop_m3/I00013.png,4242407
crop_m3/I00100.png,1B0
crop_m3/I00114.png,IBC1046
crop_m3/I00128.png,7B75285
crop_m3/I00074.png,5B77379
crop_m3/I00060.png,6480BZP
crop_m3/I00048.png,4AF89553
crop_m3/I00049.png,1Z35206
crop_m3/I00061.png,83701BA
crop_m3/I00075.png,34857B7
crop_m3/I00129.png,3B25229
crop_m3/I00115.png,18862184
crop_m3/I00101.png,
crop_m3/I00117.png,86L261
crop_m3/I00103.png,BZL5685
crop_m3/I00088.png,8BO3653
crop_m3/I00063.png,5J04027
crop_m3/I00077.png,C
crop_m3/I00076.png,3400BZL
crop_m3/I00062.png,6480BZP
crop_m3/I00089.png,1E59706
crop_m3/I00102.png,9B14015
crop_m3/I00116.png,3B6
crop_m3/I00112.png,8T8
crop_m3/I00106.png,3K29729
crop_m3/I00099.png,8B22920
crop_m3/I00066.png,18860552
crop_m3/I00072.png,7B30135
crop_m3/I00073.png,2AX4938
crop_m3/I00067.png,84345B3
crop_m3/I00098.png,2875
crop_m3/I00107.png,26876914
crop_m3/I00113.png,AAC5710
crop_m3/I00139.png,5H61028
crop_m3/I00105.png,7B35438
crop_m3/I00111.png,7B334216
crop_m3/I00059.png,72471B2
crop_m3/I00071.png,2AY936
crop_m3/I00065.png,9B91420
crop_m3/I00064.png,7B65585
crop_m3/I00070.png,95888B6
crop_m3/I00058.png,8517788
crop_m3/I00110.png,8886266
crop_m3/I00104.png,
crop_m3/I00138.png,8
crop_m4/I00082.png,6848288
crop_m4/I00055.png,9B46988
crop_m4/I00041.png,34516B2
crop_m4/I00069.png,7877699
crop_m4/I00068.png,2AB5896
crop_m4/I00040.png,3B95265
crop_m4/I00054.png,BZJ2909
crop_m4/I00083.png,9B85289
crop_m4/I00081.png,3B30411
crop_m4/I00042.png,
crop_m4/I00056.png,5H8
crop_m4/I00057.png,8930
crop_m4/I00043.png,01628B1
crop_m4/I00080.png,BZI
crop_m4/I00084.png,2B9
crop_m4/I00047.png,8B10732
crop_m4/I00053.png,9B78701
crop_m4/I00052.png,6396
crop_m4/I00046.png,36092E7
crop_m4/I00085.png,7B59839
crop_m4/I00078.png,4541
crop_m4/I00050.png,
crop_m4/I00044.png,3B48296
crop_m4/I00045.png,64182Z9
crop_m4/I00051.png,
crop_m4/I00079.png,BZ05042
crop_m4/I00086.png,7B1a1123
crop_m4/I00036.png,1BD4657
crop_m4/I00022.png,5B29670
crop_m4/I00023.png,7B27150
crop_m4/I00037.png,6B28800
crop_m4/I00021.png,5897425
crop_m4/I00035.png,0332B3
crop_m4/I00009.png,9B65431
crop_m4/I00008.png,B13AEB
crop_m4/I00034.png,7B32443
crop_m4/I00020.png,1B87819
crop_m4/I00018.png,5B97425
crop_m4/I00024.png,4AT7962
crop_m4/I00030.png,9T33663
crop_m4/I00031.png,8547
crop_m4/I00025.png,7B08199
crop_m4/I00019.png,6B42029
crop_m4/I00033.png,DT612BC
crop_m4/I00027.png,66870
crop_m4/I00026.png,7B14156
crop_m4/I00032.png,7B31505
crop_m4/I00017.png,1BB8887
crop_m4/I00003.png,1BC5138
crop_m4/I00002.png,8891698
crop_m4/I00016.png,3888729
crop_m4/I00000.png,4M26776
crop_m4/I00014.png,1BC0525
crop_m4/I00028.png,67405M5
crop_m4/I00029.png,7B14156
crop_m4/I00015.png,3837902
crop_m4/I00001.png,BL
crop_m4/I00039.png,BMZ0815
crop_m4/I00005.png,LL435G
crop_m4/I00011.png,3M46918
crop_m4/I00010.png,FMR4437
crop_m4/I00004.png,3418718
crop_m4/I00038.png,3T16754
crop_m4/I00012.png,8B70688
crop_m4/I00006.png,8T32290
crop_m4/I00007.png,6B48927
crop_m4/I00013.png,1BC
crop_m4/I00074.png,9836205
crop_m4/I00060.png,31724B8
crop_m4/I00048.png,7277BZE
crop_m4/I00049.png,9B43101
crop_m4/I00061.png,17101BI
crop_m4/I00075.png,0
crop_m4/I00063.png,2B45270
crop_m4/I00077.png,85088B6
crop_m4/I00076.png,8868508
crop_m4/I00062.png,3860832
crop_m4/I00066.png,3B75763
crop_m4/I00072.png,ZAN1991
crop_m4/I00073.png,625BC
crop_m4/I00067.png,8T52099
crop_m4/I00059.png,8121
crop_m4/I00071.png,821065
crop_m4/I00065.png,6767
crop_m4/I00064.png,6884949
crop_m4/I00070.png,6877887
crop_m4/I00058.png,4966BZ0
